BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 23.581, eventTime 1673981445968, localTimestamp 1673981446171, totalLatency 203
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 24.356, eventTime 1673981445968, localTimestamp 1673981446172, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 24.360, eventTime 1673981445968, localTimestamp 1673981446172, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 24.295, eventTime 1673981445968, localTimestamp 1673981446173, totalLatency 205
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 24.683, eventTime 1673981445968, localTimestamp 1673981446173, totalLatency 205
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 24.618, eventTime 1673981445968, localTimestamp 1673981446174, totalLatency 206
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 24.553, eventTime 1673981445970, localTimestamp 1673981446174, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.254, bestAsk 21354.40, bestAskQuantity 24.553, eventTime 1673981445970, localTimestamp 1673981446174, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.254, bestAsk 21354.40, bestAskQuantity 24.595, eventTime 1673981445970, localTimestamp 1673981446174, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.254, bestAsk 21354.40, bestAskQuantity 24.995, eventTime 1673981445970, localTimestamp 1673981446176, totalLatency 206
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.254, bestAsk 21354.40, bestAskQuantity 24.930, eventTime 1673981445972, localTimestamp 1673981446176, totalLatency 204
